method,seed,num_circles,budget,length,risk,elapsed,ts
partition_radius,21,6,100,932.5260835588285,26.198400593019336,0.6682260036468506,1701894138.98597
partition_st,21,6,100,932.5071409917157,28.219453116372566,0.6744179725646973,1701894139.660395
visibility,21,6,200,910.9192424359267,170.3762168957408,10.50454306602478,1701894150.164951
partition_optimal,21,6,200,910.114035843239,170.06988571916537,0.6642024517059326,1701894150.829833
partition_radius,21,6,200,931.6837963295118,63.49966465950764,0.7834391593933105,1701894151.613277
partition_st,21,6,200,931.6251130277251,68.78745062073972,0.8571770191192627,1701894152.470459
visibility,21,6,300,901.2888900448853,278.23493707004315,10.890517950057983,1701894163.360988
partition_optimal,21,6,300,901.6523472784305,277.4974479693358,0.9353690147399902,1701894164.2974432
partition_radius,21,6,300,929.7795262988179,100.20760814999957,1.0372188091278076,1701894165.334667
partition_st,21,6,300,930.0328246346012,107.80515137075773,1.0929811000823975,1701894166.4276521
visibility,21,6,400,900.1118059476476,318.6512140061343,11.343694925308228,1701894177.7713568
partition_optimal,21,6,400,901.0220635844096,313.4065173238765,1.3929851055145264,1701894179.1649761
partition_radius,21,6,400,923.3576090205219,235.5510493695238,1.358062982559204,1701894180.523044
partition_st,21,6,400,928.4269042768237,123.65238941939458,1.1933977603912354,1701894181.7164469
visibility,21,6,500,900.1118059476476,318.6512140061343,11.83278489112854,1701894193.549244
partition_optimal,21,6,500,901.0220635844096,313.4065173238765,1.4068129062652588,1701894194.9567308
partition_radius,21,6,500,912.0139961525754,288.5277163362454,1.761842966079712,1701894196.718581
partition_st,21,6,500,926.127277619926,139.5113221954291,0.7163257598876953,1701894197.434912
visibility,21,6,600,900.1118059476476,318.6512140061343,12.667214155197144,1701894210.102147
partition_optimal,21,6,600,901.0220635844096,313.4065173238765,1.3997690677642822,1701894211.502631
partition_radius,21,6,600,901.4820525418417,338.79422661664154,1.894564151763916,1701894213.397203
partition_st,21,6,600,922.0060301210208,209.54924121052505,0.8236181735992432,1701894214.2208269
visibility,21,6,700,900.1118059476476,318.6512140061343,12.85874605178833,1701894227.079586
partition_optimal,21,6,700,901.0220635844096,313.4065173238765,1.4314298629760742,1701894228.511702
partition_radius,21,6,700,900.3169962216575,313.66376861750797,0.8675479888916016,1701894229.379256
partition_st,21,6,700,913.6593252635951,240.53365234841084,0.8608007431030273,1701894230.240063
visibility,21,6,800,900.1118059476476,318.6512140061343,13.36159896850586,1701894243.601675
partition_optimal,21,6,800,901.0220635844096,313.4065173238765,1.3934500217437744,1701894244.995796
partition_radius,21,6,800,900.3169962216575,313.66376861750797,0.268435001373291,1701894245.26424
partition_st,21,6,800,907.3259873457858,267.6639679497458,0.5730822086334229,1701894245.837327
visibility,21,6,900,900.1118059476476,318.6512140061343,13.585392236709595,1701894259.422732
partition_optimal,21,6,900,901.0220635844096,313.4065173238765,1.383012056350708,1701894260.80634
partition_radius,21,6,900,900.3169962216575,313.66376861750797,0.2661769390106201,1701894261.072522
partition_st,21,6,900,906.5411921343582,282.833705254257,0.6389729976654053,1701894261.7115
visibility,21,6,1000,900.1118059476476,318.6512140061343,14.059104919433594,1701894275.770615
partition_optimal,21,6,1000,901.0220635844096,313.4065173238765,1.3849897384643555,1701894277.156215
partition_radius,21,6,1000,900.3169962216575,313.66376861750797,0.2658872604370117,1701894277.422216
partition_st,21,6,1000,905.763242351377,294.0476107112986,0.7214031219482422,1701894278.1436229
visibility,22,6,0,956.8531683499504,123.88661952894162,9.646708965301514,1701894287.790875
partition_optimal,22,6,0,925.754170823958,0.0,0.5626430511474609,1701894288.354193
partition_radius,22,6,0,925.754170823958,0.0,0.5601651668548584,1701894288.9143622
partition_st,22,6,0,925.754170823958,0.0,0.5598931312561035,1701894289.4742599
visibility,22,6,100,920.0615206723827,78.74268086225298,10.137340784072876,1701894299.6116102
partition_optimal,22,6,100,920.2304718184596,78.5981210589817,0.6107511520385742,1701894300.2229278
