method,seed,num_circles,budget,length,risk,elapsed,ts
partition_st,5,4,600,932.0753796337968,600,1.1581389904022217,1699824725.8565178
visibility,5,4,600,905.0975315552104,314.7040419533793,3.026952028274536,1699824728.883483
layers_solver,5,4,600,901.5177822571582,431.19815212990557,61.67580986022949,1699824790.559306
partition_radius,5,4,700,903.4125801040484,700,0.21555566787719727,1699824790.774871
partition_st,5,4,700,931.9783408392351,700,1.1892850399017334,1699824791.964161
visibility,5,4,700,905.0975315552104,314.7040419533793,3.196333885192871,1699824795.16051
layers_solver,5,4,700,901.5177822571582,431.19815212990557,68.90884518623352,1699824864.069367
partition_radius,5,4,800,903.4125801040484,800,0.21578001976013184,1699824864.285155
partition_st,5,4,800,931.8602771449549,800,0.26494383811950684,1699824864.5501041
visibility,5,4,800,905.0975315552104,314.7040419533793,3.3472788333892822,1699824867.897395
layers_solver,5,4,800,901.5177822571582,431.19815212990557,75.91302394866943,1699824943.810432
partition_radius,5,4,900,903.4125801040484,900,0.21631789207458496,1699824944.026758
partition_st,5,4,900,931.7164720182254,900,0.26116299629211426,1699824944.287926
visibility,5,4,900,905.0975315552104,314.7040419533793,3.530845880508423,1699824947.818783
layers_solver,5,4,900,901.5177822571582,431.19815212990557,82.57581377029419,1699825030.394608
partition_radius,5,4,1000,903.4125801040484,1000,0.21527409553527832,1699825030.609889
partition_st,5,4,1000,931.5427244389914,1000,0.25809574127197266,1699825030.867991
visibility,5,4,1000,905.0975315552104,314.7040419533793,3.710174798965454,1699825034.57818
layers_solver,5,4,1000,901.5177822571582,431.19815212990557,89.075021982193,1699825123.653224
partition_radius,5,4,0,904.2502892760396,0,0.24226999282836914,1699825123.8965042
partition_st,5,4,0,904.2502892760396,0,0.241912841796875,1699825124.138423
visibility,5,4,0,1015.6308080627227,117.43189931040003,2.092603921890259,1699825126.2310321
layers_solver,5,4,0,952.1233508767341,107.71505071674282,22.43051815032959,1699825148.661558
partition_radius,5,4,100,904.2502892760396,100,0.27222394943237305,1699825148.9337878
partition_st,5,4,100,904.2502892760396,100,0.3062121868133545,1699825149.240006
visibility,5,4,100,1105.9583808456732,0.00011059583808456733,2.214104175567627,1699825151.4541178
layers_solver,5,4,100,903.0126382309846,72.97737218673987,27.865355014801025,1699825179.319485
partition_radius,5,4,200,904.2502892760396,200,0.3558180332183838,1699825179.675312
partition_st,5,4,200,904.2502892760396,200,0.3601670265197754,1699825180.035486
visibility,5,4,200,925.4860704110015,109.01787738493883,2.405064105987549,1699825182.44056
layers_solver,5,4,200,901.5177822571582,113.73677370199151,34.207226037979126,1699825216.6478
partition_radius,5,4,300,904.2502892760396,300,0.387523889541626,1699825217.0353332
partition_st,5,4,300,904.2502892760396,300,0.2389822006225586,1699825217.2743208
visibility,5,4,300,925.4860704110015,109.01787738493883,2.7490649223327637,1699825220.0233972
layers_solver,5,4,300,901.5177822571582,113.73677370199151,41.8279812335968,1699825261.851392
partition_radius,5,4,400,904.2502892760396,400,0.3242068290710449,1699825262.175607
partition_st,5,4,400,904.2502892760396,400,0.2284238338470459,1699825262.404039
visibility,5,4,400,925.4860704110015,109.01787738493883,2.808601140975952,1699825265.2126532
layers_solver,5,4,400,901.5177822571582,113.73677370199151,47.97331118583679,1699825313.185979
partition_radius,5,4,500,904.2502892760396,500,0.21443414688110352,1699825313.4004219
partition_st,5,4,500,904.2502892760396,500,0.23591279983520508,1699825313.636341
visibility,5,4,500,925.4860704110015,109.01787738493883,3.0089399814605713,1699825316.645292
layers_solver,5,4,500,901.5177822571582,113.73677370199151,54.363194942474365,1699825371.0084999
partition_radius,5,4,600,904.2502892760396,600,0.2163069248199463,1699825371.2248151
partition_st,5,4,600,904.2502892760396,600,0.23997020721435547,1699825371.46479
visibility,5,4,600,925.4860704110015,109.01787738493883,3.350756883621216,1699825374.815558
layers_solver,5,4,600,901.5177822571582,113.73677370199151,62.49582290649414,1699825437.311394
partition_radius,5,4,700,904.2502892760396,700,0.21390008926391602,1699825437.5253031
partition_st,5,4,700,904.2502892760396,700,0.24357986450195312,1699825437.768888
visibility,5,4,700,925.4860704110015,109.01787738493883,3.3349008560180664,1699825441.1038
layers_solver,5,4,700,901.5177822571582,113.73677370199151,66.53177523612976,1699825507.6355882
partition_radius,5,4,800,904.2502892760396,800,0.21407008171081543,1699825507.849667
partition_st,5,4,800,904.2502892760396,800,0.24917197227478027,1699825508.098848
visibility,5,4,800,925.4860704110015,109.01787738493883,3.621706962585449,1699825511.720567
layers_solver,5,4,800,901.5177822571582,113.73677370199151,75.96073508262634,1699825587.6813152
partition_radius,5,4,900,904.2502892760396,900,0.21416687965393066,1699825587.8954911
partition_st,5,4,900,904.2502892760396,900,0.24509811401367188,1699825588.140594
visibility,5,4,900,925.4860704110015,109.01787738493883,3.7292962074279785,1699825591.869901
layers_solver,5,4,900,901.5177822571582,113.73677370199151,81.06818294525146,1699825672.938099
partition_radius,5,4,1000,904.2502892760396,1000,0.21367621421813965,1699825673.151784
partition_st,5,4,1000,904.2502892760396,1000,0.23511290550231934,1699825673.386903
visibility,5,4,1000,925.4860704110015,109.01787738493883,3.895462989807129,1699825677.282377
layers_solver,5,4,1000,901.5177822571582,113.73677370199151,87.60483503341675,1699825764.8872268
partition_radius,5,4,0,900.0415785572918,0,0.27090001106262207,1699825765.158963
partition_st,5,4,0,900.0415785572918,0,0.2714829444885254,1699825765.4304519
visibility,5,4,0,901.7392787275257,9.017392787275257e-05,2.0880608558654785,1699825767.518521
layers_solver,5,4,0,952.1233508767341,9.52123350876734e-05,22.37778902053833,1699825789.8963242
partition_radius,5,4,100,900.0415785572918,100,0.30565619468688965,1699825790.201988
partition_st,5,4,100,900.0415785572918,100,0.3134729862213135,1699825790.515469
visibility,5,4,100,900.0200870350573,9.000200870350573e-05,2.1947755813598633,1699825792.710253
layers_solver,5,4,100,901.5177822571582,9.015177822571581e-05,27.644665718078613,1699825820.354933
partition_radius,5,4,200,900.0415785572918,200,0.47549891471862793,1699825820.831724
partition_st,5,4,200,900.0415785572918,200,0.5300149917602539,1699825821.361744
visibility,5,4,200,900.0200870350573,9.000200870350573e-05,2.5276901721954346,1699825823.8894458
layers_solver,5,4,200,901.5177822571582,9.015177822571581e-05,35.0988347530365,1699825858.988296
partition_radius,5,4,300,900.0415785572918,300,0.7250187397003174,1699825859.713324
