method,seed,num_circles,budget,length,risk,elapsed,ts
partition_radius,4,6,200,919.9924707549455,200,0.9480128288269043,1695851420.396666
partition_st,4,6,200,917.3038985601518,200,1.2761759757995605,1695851421.6728508
visibility,4,6,200,907.6593481093136,169.60372704466025,7.711871862411499,1695851429.384736
partition_radius,4,6,300,908.4323882360293,300,1.3219330310821533,1695851430.706678
partition_st,4,6,300,912.0860774166658,300,1.7446038722991943,1695851432.451296
visibility,4,6,300,901.0885133571851,269.1394227702494,8.187369108200073,1695851440.638676
partition_radius,4,6,400,905.3283015625582,400,1.8593688011169434,1695851442.498057
partition_st,4,6,400,911.9509102225338,400,1.502802848815918,1695851444.000869
visibility,4,6,400,900.7170620876509,278.72045961488226,8.630014181137085,1695851452.6308951
partition_radius,4,6,500,901.2325182075748,500,2.301614999771118,1695851454.93252
partition_st,4,6,500,912.8430664329369,500,0.4156510829925537,1695851455.34818
visibility,4,6,500,900.7170620876509,278.72045961488226,9.01012897491455,1695851464.358325
partition_radius,4,6,600,903.903441944213,600,2.1705539226531982,1695851466.5288892
partition_st,4,6,600,919.5044953686237,600,0.42351531982421875,1695851466.9524128
visibility,4,6,600,900.7170620876509,278.72045961488226,9.441058874130249,1695851476.393488
partition_radius,4,6,700,910.0657594943821,700,0.2848970890045166,1695851476.678396
partition_st,4,6,700,909.4516691569809,700,0.394240140914917,1695851477.0726469
visibility,4,6,700,900.7170620876509,278.72045961488226,10.049258947372437,1695851487.121919
partition_radius,0,6,50,940.6051042451194,50,0.7631039619445801,1695851666.407131
partition_st,0,6,50,940.9479488540985,50,0.7811141014099121,1695851667.1882539
partition_radius,0,6,50,940.6051042451194,50,0.7794632911682129,1695851743.900887
partition_st,0,6,50,940.9479488540985,50,0.7700710296630859,1695851744.6709702
partition_radius,0,6,150,938.6974536839479,150,0.7921478748321533,1695851752.360793
partition_st,0,6,150,936.7483609082001,150,0.9259157180786133,1695851753.286721
visibility,0,6,150,920.5823111409859,124.70967946814595,7.213460922241211,1695851760.500193
partition_radius,0,6,800,900.1263428360567,800,0.27172279357910156,1695851760.771931
partition_st,0,6,800,919.7324704853444,800,1.333127737045288,1695851762.1050692
visibility,0,6,800,900.4369028713497,527.3258674586593,10.516704082489014,1695851772.621784
partition_radius,1,6,50,915.4416594629889,50,0.6111629009246826,1695851773.233726
partition_st,1,6,50,915.8161624638459,50,0.6187148094177246,1695851773.852452
visibility,1,6,50,920.4326916675086,33.09255275027784,7.0052900314331055,1695851780.857756
partition_radius,1,6,150,914.0321198856803,150,0.6829700469970703,1695851781.540734
partition_st,1,6,150,915.1769178065177,150,0.7054340839385986,1695851782.246177
visibility,1,6,150,914.9707635254246,123.74922932747909,7.294295072555542,1695851789.540483
partition_radius,1,6,800,900.1139199324159,800,0.27090883255004883,1695851789.811407
partition_st,1,6,800,904.9224291281453,800,1.0891408920288086,1695851790.900557
visibility,1,6,800,900.0991594640307,298.49556568831173,10.632920742034912,1695851801.53349
partition_radius,2,6,50,906.6167789271245,50,0.613166093826294,1695851802.1474292
partition_st,2,6,50,906.7749620497909,50,0.6137590408325195,1695851802.761198
visibility,2,6,50,904.1058538391163,30.77027619955837,7.042977809906006,1695851809.8041852
partition_radius,2,6,150,905.2656343021978,150,0.7300021648406982,1695851810.534195
partition_st,2,6,150,905.7723294131177,150,0.7147688865661621,1695851811.2489731
visibility,2,6,150,900.0548029938599,123.58009880266687,7.355161905288696,1695851818.604149
partition_radius,2,6,800,900.1213605617871,800,0.27581286430358887,1695851818.879971
partition_st,2,6,800,902.2434579422295,800,0.4734489917755127,1695851819.3534322
visibility,2,6,800,900.0060739225008,146.46645826036726,10.513345003128052,1695851829.866795
partition_radius,3,6,50,920.2433818375371,50,0.8796062469482422,1695851830.7471418
partition_st,3,6,50,920.5588933738609,50,0.8870551586151123,1695851831.634206
visibility,3,6,50,940.9318417516765,34.253694709210734,6.931663990020752,1695851838.5658822
partition_radius,3,6,150,919.2855333435425,150,0.9096262454986572,1695851839.475517
partition_st,3,6,150,919.7273251197845,150,0.9593038558959961,1695851840.4348302
visibility,3,6,150,909.7867893437207,132.0385338129139,7.199334144592285,1695851847.634176
partition_radius,3,6,800,900.0549653479388,800,0.2823829650878906,1695851847.916569
partition_st,3,6,800,909.8197259785837,800,0.9021182060241699,1695851848.8186948
visibility,3,6,800,901.3495335190942,386.67733809962243,10.285318851470947,1695851859.104026
partition_radius,4,6,50,921.381186755381,50,0.7117152214050293,1695851859.816483
partition_st,4,6,50,923.0730827843242,50,0.7371072769165039,1695851860.553598
partition_radius,4,6,150,920.7983156173764,150,0.8166592121124268,1695851868.393535
partition_st,4,6,150,922.4729419904515,150,1.0178070068359375,1695851869.411351
visibility,4,6,150,915.6037064934766,114.26818695332186,7.262044906616211,1695851876.673407
partition_radius,4,6,800,900.0657594943821,800,0.27893900871276855,1695851876.952353
partition_st,4,6,800,919.4083790520273,800,0.3850879669189453,1695851877.33745
visibility,4,6,800,900.7170620876509,278.72045961488226,10.53905701637268,1695851887.87652
layers_solver,0,6,0,952.1233508767341,0,25.977155923843384,1695853547.241693
layers_solver,0,6,100,949.6193920912687,84.56604670939818,32.545552253723145,1695853579.7872581
layers_solver,0,6,200,932.3249898269313,176.07672681506222,639.76305294036865,1695853619.550327
layers_solver,0,6,300,921.6309956189941,263.98825495336183,850.63766026496887,1695853666.188013
layers_solver,0,6,400,908.9405280901769,356.2369294705983,900.24513006210327,1695853719.4331641
layers_solver,0,6,500,902.3882096233796,456.9785433736114,1160.17564415931702,1695853779.608824
layers_solver,0,6,600,901.5177822571582,523.9935200205441,1267.80836081504822,1695853847.4172
